,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Connecticut ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Ally Malott,37,.700,.700,.600,.000,3.7,12.7,8.6,0.0,1.5,2.2,16.7,16.4,117,130,
1,Andrea Hoover,33,.722,.722,.556,.000,8.4,7.1,7.7,22.1,3.4,0.0,30.8,19.9,113,129,
2,Jenna Burdette,32,.477,.450,.300,.100,0.0,3.7,2.0,0.0,0.0,0.0,16.1,19.6,83,139,
3,Kelley Austria,30,.550,.550,.200,.000,0.0,7.8,4.2,31.3,1.9,5.4,16.7,20.2,111,130,
4,Jodie Cornelie-Sigmundova,25,.588,.600,.000,.400,11.0,18.8,15.2,0.0,0.0,6.5,14.5,13.9,112,128,
6,Amber Deane,22,.188,.188,.375,.000,0.0,10.7,5.8,20.8,0.0,0.0,27.3,25.3,47,136,
7,Saicha Grant-Allen,21,.548,.500,.000,.200,13.1,16.8,15.1,0.0,0.0,0.0,8.4,28.6,111,132,
8,School Totals,200,.544,.532,.306,.081,24.1,52.9,39.7,42.9,5.6,10.2,18.9,100.0,97.2,126.4,
