,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Dayton ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Andrea Hoover,40,5,8,.625,4,6,.667,1,2,.500,15,15,1.000,3,2,5,5,1,0,4,2,26
1,Kelley Austria,37,4,9,.444,4,7,.571,0,2,.000,2,2,1.000,0,3,3,1,1,0,3,2,10
2,Ally Malott,33,4,8,.500,4,7,.571,0,1,.000,1,1,1.000,0,7,7,1,1,1,3,5,9
3,Jodie Cornelie-Sigmundova,30,5,9,.556,5,9,.556,0,0,,2,4,.500,3,8,11,0,0,4,2,1,12
4,Jenna Burdette,24,2,7,.286,2,4,.500,0,3,.000,2,4,.500,1,4,5,0,1,0,3,1,6
6,Amber Deane,20,5,9,.556,4,7,.571,1,2,.500,4,4,1.000,1,0,1,1,0,0,3,3,15
7,Saicha Grant-Allen,16,2,3,.667,2,3,.667,0,0,,0,0,,1,4,5,0,1,2,0,5,4
8,Javonna Layfield,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,School Totals,200,27,53,.509,25,43,.581,2,10,.200,26,30,.867,9,28,37,8,5,7,18,19,82
