,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jude Schimmel,38,.225,.196,.391,.130,4.4,8.4,5.8,5.6,1.4,0.0,14.1,32.4,54,119,
1,Mariya Moore,29,.373,.143,.714,.714,11.5,16.6,13.2,6.4,3.7,3.2,9.8,15.3,101,111,
2,Sara Hammond,28,.252,.200,.000,.400,3.0,17.1,7.8,13.2,0.0,0.0,0.0,9.1,83,120,
3,Myisha Hines-Allen,15,.586,.545,.000,.182,11.1,21.3,14.6,0.0,3.6,0.0,7.8,37.3,120,111,
4,Sheronne Vails,7,.333,.333,.000,.000,0.0,0.0,0.0,0.0,7.7,13.3,0.0,18.6,85,101,
6,Bria Smith,35,.576,.556,.000,.333,4.8,13.7,7.8,19.8,6.1,0.0,16.2,15.3,113,108,
7,Shawnta' Dyer,26,.459,.333,.000,.444,25.6,12.3,21.1,33.5,0.0,0.0,8.5,19.6,123,121,
8,Arica Carter,14,.506,.333,.333,.667,6.0,0.0,3.9,0.0,0.0,0.0,0.0,12.0,134,124,
9,Emmonnie Henderson,7,.380,.333,.000,.667,0.0,22.9,7.8,0.0,7.7,0.0,0.0,24.1,95,102,
10,Megan Deines,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,124,
11,School Totals,200,.393,.322,.205,.315,41.7,64.0,49.3,47.8,13.3,4.7,9.7,100.0,88.0,109.3,
