,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Minnesota ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Megan Podkowa,36,.662,.633,.533,.333,7.9,8.5,8.2,16.6,1.4,6.0,10.4,23.8,127,100,
1,Brittany Hrynko,34,.279,.188,.438,.250,0.0,13.6,5.2,27.7,6.1,0.0,14.5,27.3,69,90,
2,Jessica January,32,.100,.100,.500,.000,6.0,9.6,7.4,22.5,3.2,0.0,16.7,16.7,51,97,
3,Chanise Jenkins,26,.618,.625,.500,.167,7.3,29.6,15.8,7.8,4.0,0.0,13.4,25.5,108,89,
4,Centrese McGee,24,.667,.667,.333,.000,4.0,6.4,4.9,13.0,4.3,0.0,0.0,5.6,155,96,
6,Brooke Schulte,27,.726,.688,.375,.250,3.5,11.4,6.5,6.9,5.7,0.0,10.1,16.3,133,91,
7,Ashton Millender,14,.700,.700,.600,.000,0.0,0.0,0.0,28.0,0.0,0.0,0.0,15.9,147,108,
8,Mart'e Grays,7,.506,.333,.333,.667,27.2,0.0,16.8,0.0,0.0,0.0,20.5,31.1,102,108,
9,School Totals,200,.499,.458,.472,.208,26.2,57.7,38.2,69.0,17.9,5.4,12.2,100.0,101.3,92.3,
