,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Maegan Conwright,33,.303,.188,.500,.500,0.0,13.5,7.8,0.0,1.8,0.0,9.3,16.9,68,71,
1,Adut Bulgak,29,.455,.375,.125,.500,5.3,46.0,28.9,0.0,0.0,4.6,29.1,24.6,72,66,
2,Leticia Romero,27,.611,.611,.222,.000,5.7,24.7,16.7,50.5,0.0,0.0,35.7,26.9,96,73,
3,Brittany Brown,22,1.000,1.000,.750,.000,14.0,10.1,11.7,9.3,2.6,0.0,33.3,14.1,130,69,
4,Ivey Slaughter,18,.513,.333,.000,2.000,17.1,18.5,17.9,9.8,0.0,7.4,0.0,16.2,136,67,
6,Shakayla Thomas,19,.750,.750,.000,.000,8.1,17.5,13.6,17.0,3.1,0.0,20.0,27.3,118,67,
7,Emiah Bingley,19,.400,.400,.600,.000,8.1,0.0,3.4,10.1,0.0,0.0,16.7,16.4,85,77,
8,Shakena Richardson,13,.667,.667,.000,.000,0.0,8.5,5.0,16.3,0.0,0.0,40.0,19.9,82,75,
9,Morgan Jones,10,.750,.750,1.000,.000,0.0,11.1,6.5,19.0,0.0,0.0,0.0,10.4,170,75,
10,Lauren Coleman,5,.000,.000,1.000,.000,0.0,44.4,25.8,0.0,11.6,0.0,0.0,31.1,0,43,
11,Ama Degbeon,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,77,
12,Kai James,2,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,200,77,
13,School Totals,200,.536,.509,.333,.259,30.8,94.4,67.7,48.0,5.8,6.7,21.9,100.0,94.2,68.1,
