,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Ariel Massengale,45,.500,.500,.533,.000,0.0,9.7,3.9,23.5,0.0,0.0,11.8,18.7,116,107,
1,Cierra Burdick,38,.529,.412,.118,.471,15.8,34.4,23.4,0.0,3.3,0.0,8.9,29.4,126,90,
2,Jordan Reynolds,38,.612,.417,.167,1.333,7.9,15.3,10.9,17.2,1.7,2.3,0.0,12.4,169,100,
3,Bashaara Graves,34,.281,.250,.000,.083,20.6,0.0,12.2,0.0,1.9,2.5,7.4,19.6,88,104,
4,Andraya Carter,22,.000,.000,.500,.000,4.5,6.6,5.4,0.0,2.9,0.0,25.0,18.0,6,101,
6,Jaime Nared,28,.578,.438,.250,.625,10.7,15.6,12.7,0.0,0.0,3.1,22.7,23.4,110,102,
7,Alexa Middleton,16,.500,.500,.600,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,130,110,
8,Nia Moore,4,.000,.000,.000,.000,25.0,0.0,14.8,48.9,0.0,0.0,0.0,24.8,54,110,
9,School Totals,225,.448,.366,.268,.310,46.7,64.5,53.9,34.8,7.0,5.8,10.9,100.0,102.8,97.2,
