,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,North Carolina ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Allisha Gray,34,7,11,.636,6,8,.750,1,3,.333,2,4,.500,2,2,4,3,1,1,0,4,17
1,Stephanie Mavunga,29,4,13,.308,4,13,.308,0,0,,4,8,.500,2,7,9,1,0,5,4,4,12
2,Brittany Rountree,29,1,1,1.000,0,0,,1,1,1.000,2,2,1.000,0,5,5,5,1,0,3,4,5
3,Latifah Coleman,28,7,11,.636,7,9,.778,0,2,.000,1,4,.250,0,3,3,2,2,0,2,2,15
4,N'Dea Bryant,24,3,6,.500,3,6,.500,0,0,,2,2,1.000,1,4,5,0,0,1,0,2,8
6,Jessica Washington,18,2,3,.667,1,1,1.000,1,2,.500,0,0,,2,0,2,2,1,0,2,2,5
7,Danielle Butts,16,2,7,.286,2,7,.286,0,0,,0,0,,2,1,3,1,2,0,1,2,4
8,Jamie Cherry,11,1,3,.333,0,2,.000,1,1,1.000,0,0,,0,1,1,3,2,0,3,0,3
9,Hillary Summers,11,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,1,1,0,0,0,2
10,School Totals,200,28,57,.491,24,48,.500,4,9,.444,11,20,.550,9,24,33,18,10,7,15,20,71
