,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Arizona State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Alexius Dawn,40,.077,.077,.538,.000,3.1,12.1,7.7,16.7,3.1,2.2,13.3,19.8,35,91,
1,Ka'Nesheia Cobbins,37,.425,.375,.083,.167,3.4,9.8,6.7,26.1,3.3,0.0,13.4,21.2,95,93,
2,Taylor Gault,36,.385,.385,.077,.000,0.0,10.1,5.1,11.4,1.7,0.0,23.5,24.9,67,96,
3,Kiera Clark,30,.580,.556,.000,.111,12.5,16.2,14.4,0.0,8.2,2.9,29.8,23.7,86,76,
4,Kaitlyn Pratt,25,.857,.857,.000,.000,10.0,4.8,7.4,0.0,2.5,0.0,0.0,14.8,174,98,
6,Shanity James,26,.548,.600,.000,.200,9.6,9.3,9.5,7.5,2.4,0.0,26.9,15.1,88,95,
7,Lexus Williams,4,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,200,107,
8,Keanna Keys,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,107,
9,Sharde' Collins,1,,,,,100.0,0.0,61.5,0.0,0.0,0.0,,0.0,204,107,
10,School Totals,200,.436,.425,.150,.067,31.3,51.5,41.5,48.0,16.9,4.3,18.4,100.0,83.1,87.7,
