,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Curtyce Knox,38,.336,.250,.500,.400,0.0,6.8,3.1,26.5,0.0,2.5,33.8,24.1,61,117,
1,Courtney Williams,33,.514,.450,.050,.250,6.6,39.1,21.4,10.9,0.0,2.9,4.3,36.3,116,105,
2,Courtney Walker,29,.461,.313,.125,.750,0.0,0.0,0.0,14.3,0.0,0.0,8.6,20.7,108,121,
3,Khaalia Hillsman,26,.452,.444,.000,.222,16.6,29.8,22.6,0.0,0.0,7.3,0.0,19.6,114,106,
4,Achiri Ade,13,.000,.000,.000,.000,24.9,9.9,18.1,14.0,4.8,14.7,66.7,11.9,46,96,
6,Chelsea Jennings,23,.250,.250,.000,.000,9.4,11.2,10.2,17.2,2.7,0.0,33.3,13.5,60,111,
7,Tori Scott,19,.667,.667,.000,.000,5.7,0.0,3.1,23.7,3.3,0.0,0.0,8.2,157,114,
8,Tavarsha Scott-Williams,8,1.000,1.000,.000,.000,13.5,16.1,14.7,0.0,7.8,0.0,0.0,6.5,202,98,
9,Rachel Mitchell,6,1.000,1.000,.000,.000,18.0,0.0,9.8,0.0,0.0,0.0,0.0,8.6,203,122,
10,Taylor Cooper,4,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0,118,
11,Jada Terry,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,122,
12,School Totals,200,.454,.397,.138,.293,37.8,71.0,52.9,59.1,6.3,14.3,15.4,100.0,93.8,107.8,
