,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Louisiana State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,DaShawn Harden,34,7,16,.438,5,8,.625,2,8,.250,0,0,,1,3,4,0,3,0,2,3,16
1,Raigyne Louis,34,5,15,.333,5,15,.333,0,0,,3,4,.750,4,6,10,4,0,1,2,1,13
2,Danielle Ballard,27,8,14,.571,8,14,.571,0,0,,1,2,.500,1,6,7,3,6,2,3,1,17
3,Sheila Boykin,21,0,1,.000,0,1,.000,0,0,,0,0,,1,2,3,1,0,1,0,3,0
4,Anne Pedersen,15,1,4,.250,0,2,.000,1,2,.500,0,0,,0,2,2,0,0,0,3,4,3
6,Ann Jones,21,2,7,.286,2,7,.286,0,0,,2,2,1.000,3,3,6,1,0,0,2,1,6
7,Rina Hill,17,1,3,.333,1,3,.333,0,0,,0,0,,1,0,1,1,0,0,1,2,2
8,Akilah Bethel,15,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,4,0
9,Jenna Deemer,13,2,7,.286,2,4,.500,0,3,.000,3,4,.750,0,0,0,0,0,0,2,1,7
10,Jasmine Rhodes,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,1,0
11,School Totals,200,26,67,.388,23,54,.426,3,13,.231,9,12,.750,11,24,35,10,10,5,16,21,64
