,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Breanna Stewart,39,.704,.615,.462,.769,12.8,16.5,14.9,14.1,3.2,10.3,10.3,28.1,148,86,
1,Morgan Tuck,38,.708,.688,.250,.125,13.2,20.4,17.2,0.0,0.0,2.6,10.6,28.0,134,97,
2,Moriah Jefferson,38,.782,.750,.500,.250,4.4,3.4,3.8,22.2,3.3,0.0,10.1,14.7,161,98,
3,Kaleena Mosqueda-Lewis,32,.223,.188,.625,.250,0.0,8.1,4.5,31.5,2.0,0.0,10.1,17.4,92,99,
4,Kia Nurse,26,.500,.500,.600,.000,0.0,9.9,5.6,0.0,0.0,0.0,28.6,15.2,70,102,
6,Kiah Stokes,18,1.000,1.000,.000,.000,9.3,35.8,24.2,10.0,0.0,11.1,25.0,12.5,148,85,
7,Gabby Williams,6,.769,1.000,.000,2.000,0.0,21.5,12.1,29.9,0.0,0.0,0.0,17.7,171,98,
8,Saniya Chong,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,107,
9,Courtney Ekmark,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,107,
10,School Totals,200,.647,.611,.407,.333,33.3,71.0,54.5,58.6,7.8,17.5,12.6,100.0,126.6,90.6,
