,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Duke ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Azura Stevens,40,9,13,.692,8,10,.800,1,3,.333,3,6,.500,3,7,10,1,1,2,2,2,22
1,Rebecca Greenwell,38,5,11,.455,2,5,.400,3,6,.500,4,8,.500,1,4,5,3,2,0,3,4,17
2,Elizabeth Williams,38,5,12,.417,5,12,.417,0,0,,2,8,.250,3,6,9,4,0,2,3,3,12
3,Ka'lia Johnson,32,4,8,.500,4,7,.571,0,1,.000,2,4,.500,0,3,3,4,1,0,5,3,10
4,Amber Henson,27,0,1,.000,0,0,,0,1,.000,0,0,,0,3,3,3,0,2,0,4,0
6,Kendall Cooper,14,1,1,1.000,1,1,1.000,0,0,,1,1,1.000,1,4,5,1,1,1,3,0,3
7,Erin Mathias,11,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
8,School Totals,200,24,46,.522,20,35,.571,4,11,.364,12,27,.444,8,27,35,16,5,7,16,16,64
