,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,North Carolina ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Latifah Coleman,37,5,15,.333,3,10,.300,2,5,.400,3,4,.750,0,0,0,3,0,0,1,1,15
1,Stephanie Mavunga,32,4,12,.333,4,11,.364,0,1,.000,2,2,1.000,6,7,13,0,3,3,3,5,10
2,Allisha Gray,29,3,8,.375,3,7,.429,0,1,.000,6,6,1.000,1,4,5,0,2,0,1,3,12
3,Brittany Rountree,29,1,3,.333,1,3,.333,0,0,,1,2,.500,0,2,2,5,0,1,1,3,3
4,N'Dea Bryant,23,4,10,.400,4,10,.400,0,0,,1,2,.500,0,3,3,0,1,0,1,2,9
6,Jessica Washington,22,3,7,.429,1,2,.500,2,5,.400,0,0,,2,3,5,0,0,0,0,1,8
7,Danielle Butts,17,3,4,.750,3,4,.750,0,0,,2,4,.500,0,3,3,0,2,0,2,2,8
8,Hillary Fuller,4,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,2,0
9,Hillary Summers,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
10,Jamie Cherry,3,0,3,.000,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,2,0
11,School Totals,200,23,62,.371,19,49,.388,4,13,.308,15,20,.750,10,22,32,9,8,4,9,22,65
