,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Baylor ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Chelsea Rogers,36,.167,.167,.889,.000,0.0,15.3,6.4,0.0,1.8,0.0,10.0,16.4,29,124,
1,Janelle Perez,33,.333,.333,.733,.000,0.0,8.4,3.5,53.0,0.0,0.0,6.3,28.6,66,131,
2,Tia Youngblood,24,.500,.500,.000,.000,8.3,5.7,7.2,18.5,0.0,3.1,14.3,17.2,87,131,
3,Presley Owens,20,.667,.667,.500,.000,5.0,20.7,11.6,25.0,0.0,0.0,0.0,17.7,120,124,
4,Keisha Lee,17,.188,.188,.250,.000,5.9,0.0,3.4,0.0,0.0,0.0,11.1,31.2,36,136,
6,Beatrice Attura,29,.101,.000,.667,.222,0.0,9.5,4.0,29.6,0.0,0.0,16.8,24.1,27,131,
7,Arianne Ausmer,15,.500,.500,.000,.000,0.0,18.4,7.7,23.5,4.3,0.0,33.3,11.8,66,116,
8,Sami Thomas,9,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0,136,
9,Jackie Perez,6,,,,,0.0,0.0,0.0,47.6,0.0,0.0,,0.0,243,134,
10,Amy Staha,5,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,89,136,
11,Meghan Cross,4,.000,.000,1.000,.000,0.0,0.0,0.0,71.4,0.0,0.0,50.0,29.5,17,136,
12,Ndey Sonko,2,,,,,0.0,69.0,29.0,0.0,0.0,0.0,,0.0,,101,
13,School Totals,200,.300,.288,.559,.034,10.0,51.7,27.5,85.7,3.2,1.9,11.8,100.0,57.1,122.2,
