,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Connecticut ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Lindsay Allen,40,.309,.250,.250,.167,13.2,6.3,10.0,38.9,1.5,0.0,28.0,21.4,73,103,
1,Jewell Loyd,38,.302,.222,.167,.222,2.8,13.2,7.5,6.3,1.6,2.8,0.0,24.9,85,98,
2,Brianna Turner,37,.778,.778,.000,.000,11.4,20.3,15.4,0.0,1.6,2.8,18.2,14.2,127,95,
3,Taya Reimer,33,.273,.273,.000,.000,9.6,30.3,19.0,14.0,1.8,6.4,35.3,24.7,48,88,
4,Michaela Mabrey,18,.900,.900,.600,.000,0.0,6.9,3.2,0.0,0.0,0.0,16.7,16.0,141,106,
6,Madison Cable,22,.336,.200,.400,.400,9.6,5.7,7.8,0.0,2.7,0.0,14.5,15.0,80,100,
7,Hannah Huffman,7,.000,.000,.000,.000,0.0,0.0,0.0,27.2,0.0,0.0,50.0,13.7,21,108,
8,Kathryn Westbeld,5,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,28.7,0,109,
9,School Totals,200,.397,.357,.175,.127,39.5,68.8,52.9,52.4,7.4,10.5,20.3,100.0,77.9,92.6,
