,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Elisha Davis,29,.625,.625,.750,.000,6.3,8.6,7.7,37.2,6.1,0.0,42.9,13.2,109,83,
1,Sophie Brunner,27,.645,.625,.000,.750,20.2,13.9,16.5,16.8,6.6,4.2,27.3,29.7,107,77,
2,Katie Hempen,26,.803,.773,.818,.636,0.0,19.2,11.4,9.8,2.3,0.0,22.1,38.1,120,86,
3,Promise Amukamara,23,.542,.400,.000,1.000,0.0,10.9,6.4,16.2,7.7,0.0,12.2,19.5,119,77,
4,Kelsey Moos,21,.619,1.000,.000,3.000,8.7,6.0,7.1,8.2,2.8,0.0,0.0,6.1,148,91,
6,Peace Amukamara,24,.576,.667,.000,.333,0.0,10.4,6.2,30.8,2.5,0.0,22.5,10.1,122,90,
7,Arnecia Hawkins,16,.750,.750,.500,.000,0.0,7.8,4.6,0.0,3.7,0.0,0.0,27.4,145,89,
8,Eliza Normen,16,.500,.500,.000,.000,11.4,23.4,18.5,11.1,0.0,35.7,50.0,13.7,72,75,
9,Quinn Dornstauder,14,.339,.333,.000,1.000,13.0,26.8,21.2,12.9,0.0,0.0,31.6,24.7,67,85,
10,Nicole Iademarco,2,,,,,0.0,0.0,0.0,80.0,0.0,0.0,,0.0,232,96,
11,Ayanna Edwards,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,100,
12,Isidora Purkovic,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,100,
13,School Totals,200,.651,.644,.356,.556,31.8,65.6,51.9,76.0,19.4,17.1,23.0,100.0,110.4,82.1,
