,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Bonnie Samuelson,38,.688,.550,.900,.800,0.0,4.9,3.0,0.0,1.4,2.1,6.9,18.7,144,106,
1,Amber Orrange,33,.633,.639,.056,.111,4.3,16.9,12.0,34.1,3.1,2.5,13.7,32.5,120,95,
2,Lili Thompson,30,.846,1.083,.500,1.833,0.0,18.6,11.3,30.8,0.0,0.0,35.6,27.5,115,103,
3,Erica McCall,22,.507,.400,.000,.800,19.5,33.8,28.2,0.0,0.0,7.4,12.9,17.3,116,91,
4,Brittany McPhee,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,113,
6,Briana Roberson,37,.893,.833,.333,3.000,7.7,5.0,6.1,14.9,1.4,0.0,41.8,15.8,122,107,
7,Taylor Greenfield,19,.339,.000,.750,1.000,7.5,4.9,5.9,0.0,0.0,0.0,14.8,17.4,80,110,
8,Kaylee Johnson,17,,,,,8.4,21.9,16.6,0.0,3.1,14.4,100.0,5.8,32,86,
9,School Totals,200,.671,.609,.370,.826,28.6,67.4,52.1,41.7,6.5,14.3,22.9,100.0,111.7,98.7,
