,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Louisville ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Courtney Williams,40,.547,.475,.350,.300,0.0,18.9,11.5,22.2,1.5,1.8,15.0,38.8,98,92,
1,Laura Ferreira,40,.750,.750,.833,.000,8.3,5.4,6.6,7.1,0.0,0.0,25.0,11.6,113,107,
2,Alisia Jenkins,38,.593,.500,.000,1.000,4.4,17.1,12.1,0.0,1.6,5.7,34.2,13.4,83,91,
3,Katelyn Weber,14,.678,1.000,.000,1.000,0.0,15.4,9.4,0.0,0.0,20.8,0.0,6.0,124,90,
4,Laura Marcos Canedo,4,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0,111,
6,Shalethia Stringfield,36,.350,.350,.300,.000,0.0,9.0,5.5,40.7,5.0,0.0,28.6,22.6,66,92,
7,Maria Jespersen,14,.253,.000,.667,.667,11.9,7.7,9.4,0.0,0.0,0.0,20.5,20.3,55,105,
8,Tamara Tayler,14,.000,.000,.000,.000,0.0,0.0,0.0,16.8,0.0,0.0,25.0,16.6,14,111,
9,School Totals,200,.480,.427,.354,.271,16.7,56.8,41.0,52.9,7.6,14.5,21.7,100.0,78.8,90.9,
