,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,South Florida ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Courtney Williams,40,8,20,.400,5,13,.385,3,7,.429,6,6,1.000,0,7,7,2,1,1,4,3,25
1,Laura Ferreira,40,3,6,.500,0,1,.000,3,5,.600,0,0,,2,2,4,1,0,0,2,3,9
2,Alisia Jenkins,38,2,4,.500,2,4,.500,0,0,,3,4,.750,1,6,7,0,1,3,3,4,7
3,Katelyn Weber,14,1,1,1.000,1,1,1.000,0,0,,0,1,.000,0,2,2,0,0,4,0,0,2
4,Laura Marcos Canedo,4,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
6,Shalethia Stringfield,36,3,10,.300,2,7,.286,1,3,.333,0,0,,0,3,3,5,3,0,4,1,7
7,Maria Jespersen,14,0,3,.000,0,1,.000,0,2,.000,2,2,1.000,1,1,2,0,0,0,1,3,2
8,Tamara Tayler,14,0,3,.000,0,3,.000,0,0,,0,0,,0,0,0,1,0,0,1,1,0
9,School Totals,200,17,48,.354,10,31,.323,7,17,.412,11,13,.846,4,21,25,9,5,8,15,15,52
