,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Connecticut ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Leah Fechko,36,.125,.125,.375,.000,5.6,17.5,9.4,18.7,5.2,0.0,20.0,15.4,29,133,
1,Katie Fox,34,.000,.000,.500,.000,0.0,0.0,0.0,9.0,1.8,0.0,60.0,8.2,7,143,
2,Eilidh Simpson,31,.250,.250,.400,.000,6.5,6.8,6.6,12.4,0.0,0.0,16.7,21.5,46,146,
3,Sarah Benedetti,30,.433,.433,.600,.000,3.3,7.0,4.5,21.1,0.0,3.0,0.0,27.8,90,145,
4,Jaymee Veney,28,.179,.179,.286,.000,3.6,22.6,9.7,14.1,4.5,0.0,6.7,29.8,39,133,
6,Alex Delaney,16,.625,.625,.750,.000,0.0,13.2,4.2,0.0,0.0,0.0,33.3,20.8,72,144,
7,Cassidy Derda,12,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,27.8,0,146,
8,Becky Pund,6,.000,.000,.500,.000,33.3,0.0,22.6,0.0,0.0,0.0,0.0,18.5,0,146,
9,Blair Arthur,3,,,,,0.0,0.0,0.0,100.0,0.0,0.0,,0.0,254,148,
10,Rachel Iozzia,2,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,300,148,
11,Taylor Watson,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,148,
12,School Totals,200,.275,.275,.467,.000,20.0,47.4,28.8,53.8,9.4,2.3,16.7,100.0,51.6,139.1,
