,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Notre Dame ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Lindsay Allen,36,9,17,.529,5,10,.500,4,7,.571,6,6,1.000,0,5,5,4,1,0,4,2,28
1,Jewell Loyd,36,7,21,.333,7,19,.368,0,2,.000,7,7,1.000,3,3,6,1,3,1,1,0,21
2,Brianna Turner,30,6,10,.600,6,10,.600,0,0,,0,0,,3,4,7,2,1,2,2,2,12
3,Taya Reimer,20,5,7,.714,5,7,.714,0,0,,0,0,,1,2,3,0,0,0,2,4,10
4,Michaela Mabrey,13,1,1,1.000,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,2
6,Madison Cable,25,0,1,.000,0,1,.000,0,0,,0,0,,1,2,3,0,3,0,0,0,0
7,Hannah Huffman,20,2,2,1.000,2,2,1.000,0,0,,0,0,,1,4,5,3,1,1,0,2,4
8,Kathryn Westbeld,14,1,4,.250,1,4,.250,0,0,,0,0,,1,4,5,1,0,0,0,0,2
9,Mychal Johnson,2,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2
10,Markisha Wright,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
11,Whitney Holloway,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,School Totals,200,32,65,.492,28,56,.500,4,9,.444,13,13,1.000,11,25,36,11,9,4,9,12,81
