,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Maryland ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Ariel Massengale,40,.533,.533,.600,.000,0.0,14.3,5.7,6.7,0.0,0.0,0.0,19.1,124,104,
1,Cierra Burdick,35,.346,.346,.308,.000,8.2,12.2,9.8,26.2,3.6,8.4,31.6,27.7,63,91,
2,Andraya Carter,35,.250,.250,.400,.000,10.9,0.0,6.5,5.8,3.6,2.8,9.1,16.0,69,99,
3,Jordan Reynolds,33,.333,.333,.250,.000,2.9,26.0,12.1,14.1,3.8,0.0,7.7,20.1,80,90,
4,Bashaara Graves,28,.286,.300,.000,.100,10.2,20.4,14.3,8.1,2.3,0.0,0.0,19.0,81,96,
6,Jaime Nared,16,.250,.250,.250,.000,11.9,17.9,14.3,0.0,0.0,0.0,33.3,19.1,45,102,
7,Alexa Middleton,12,.333,.333,.333,.000,7.9,11.9,9.5,0.0,5.3,0.0,0.0,12.7,89,92,
8,Nia Moore,1,.000,.000,.000,.000,95.2,0.0,57.1,0.0,0.0,0.0,0.0,51.0,34,108,
9,School Totals,200,.350,.353,.324,.015,35.7,71.4,50.0,40.9,12.7,9.8,12.7,100.0,76.2,92.1,
