,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,California ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Mikayla Cowling,38,4,7,.571,4,7,.571,0,0,,3,4,.750,0,6,6,5,0,0,1,0,11
1,Mercedes Jefflo,35,4,11,.364,2,2,1.000,2,9,.222,4,6,.667,0,1,1,0,1,0,5,3,14
2,Gabby Green,35,4,8,.500,2,5,.400,2,3,.667,1,2,.500,1,7,8,4,0,1,2,2,11
3,Brittany Boyd,33,3,8,.375,2,5,.400,1,3,.333,5,6,.833,2,5,7,4,2,0,5,4,12
4,Reshanda Gray,31,9,13,.692,9,13,.692,0,0,,4,7,.571,3,6,9,0,0,0,1,3,22
6,Courtney Range,23,3,5,.600,3,5,.600,0,0,,0,0,,2,1,3,3,2,0,1,3,6
7,KC Waters,2,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2
8,Brittany Shine,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Penina Davidson,1,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
10,School Totals,200,28,54,.519,23,39,.590,5,15,.333,17,25,.680,8,26,34,17,5,1,15,15,78
