,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Ariel Atkins,25,.604,.636,.182,.273,10.0,17.8,14.1,15.4,6.4,8.6,0.0,22.2,144,48,
1,Celina Rodrigo,25,.377,.286,.429,.286,5.0,17.8,11.8,22.2,4.3,0.0,11.3,16.0,109,60,
2,Empress Davenport,23,.722,.722,.444,.000,10.9,0.0,5.1,7.5,2.3,0.0,0.0,17.6,172,72,
3,Brooke McCarty,23,.600,.600,.400,.000,0.0,4.8,2.6,14.9,4.7,0.0,9.1,21.5,131,64,
4,Imani Boyette,18,.504,.400,.000,.400,6.9,55.6,32.7,8.1,0.0,18.0,25.4,19.7,96,42,
6,Lashann Higgs,15,.565,.333,.167,1.000,16.7,37.0,27.5,0.0,3.6,7.2,18.8,32.0,117,48,
7,Tasia Foman,15,.583,.583,.500,.000,8.3,14.8,11.8,0.0,0.0,0.0,0.0,18.0,143,71,
8,Brady Sanders,13,.500,.500,.500,.000,0.0,0.0,0.0,11.9,4.1,0.0,20.0,17.3,97,68,
9,Kelsey Lang,11,.506,.333,.000,.667,22.7,20.2,21.4,12.8,0.0,0.0,20.5,20.0,117,68,
10,Brianna Taylor,11,.345,.000,.000,4.000,22.7,20.2,21.4,11.4,4.9,0.0,26.6,15.4,90,57,
11,Jordan Hosey,10,.606,.500,.000,.500,12.5,0.0,5.9,0.0,0.0,10.8,0.0,11.0,157,70,
12,Olamide Aborowa,6,.250,.250,.000,.000,0.0,37.0,19.6,0.0,0.0,0.0,20.0,37.5,50,62,
13,Sara Hattis,5,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,18.0,81,77,
14,School Totals,200,.548,.507,.275,.290,43.8,86.1,66.2,40.6,14.7,18.9,12.3,100.0,114.7,56.0,
