,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Syracuse ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Alexis Peterson,37,7,17,.412,5,11,.455,2,6,.333,6,8,.750,0,2,2,6,2,0,5,0,22
1,Brittney Sykes,34,7,14,.500,6,8,.750,1,6,.167,9,10,.900,1,4,5,0,5,0,1,2,24
2,Brianna Butler,31,2,11,.182,0,3,.000,2,8,.250,0,0,,0,1,1,3,0,0,0,2,6
3,Briana Day,12,1,2,.500,1,2,.500,0,0,,1,6,.167,3,3,6,0,0,0,1,5,3
4,Isabella Slim,8,0,1,.000,0,0,,0,1,.000,0,0,,0,2,2,1,0,0,0,0,0
6,Bria Day,28,1,3,.333,1,3,.333,0,0,,2,4,.500,5,5,10,0,0,2,2,4,4
7,Cornelia Fondren,28,1,2,.500,1,2,.500,0,0,,1,2,.500,1,2,3,2,1,1,6,4,3
8,Maggie Morrison,16,3,5,.600,0,0,,3,5,.600,2,2,1.000,0,3,3,1,3,0,1,0,11
9,Taylor Ford,6,0,1,.000,0,0,,0,1,.000,3,3,1.000,0,0,0,0,0,0,0,1,3
10,School Totals,200,22,56,.393,14,29,.483,8,27,.296,24,35,.686,10,22,32,13,11,3,16,18,76
