,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Syracuse ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kelsey Minato,40,.334,.286,.500,.143,8.8,12.2,10.7,17.6,1.4,0.0,21.2,22.0,74,107,
1,Janae McNeal,29,.875,.875,.000,.000,12.2,13.5,12.9,26.7,0.0,0.0,33.3,19.3,106,109,
2,Jean Parker,29,.503,.500,.889,.222,8.1,10.1,9.2,34.8,1.9,6.9,9.2,17.5,118,106,
3,Brianna Johnson,22,.371,.250,.375,.375,0.0,0.0,0.0,11.1,4.9,0.0,24.4,26.1,70,109,
4,Aimee Oertner,17,.510,.667,.000,1.333,0.0,17.2,9.4,15.4,6.4,5.9,38.7,21.3,61,90,
6,Aliyah Murray,19,.369,.250,.000,.750,12.4,15.4,14.0,23.5,11.4,0.0,36.1,20.4,68,81,
7,Destinee Morris,18,.300,.300,.600,.000,0.0,10.8,5.9,25.0,3.0,0.0,0.0,12.9,95,105,
8,Daizjah Morris,10,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,9.3,0,120,
9,Madison Hovren,7,.333,.333,.000,.000,33.6,13.9,22.9,0.0,0.0,0.0,25.0,26.6,66,109,
10,Jess Lewis,3,.526,,,,0.0,0.0,0.0,0.0,0.0,0.0,53.2,29.2,53,121,
11,Izzy McMahon,3,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,31.0,0,120,
12,Lena Hicks,2,.000,,,,58.8,0.0,26.7,0.0,0.0,50.0,0.0,20.5,29,110,
13,Brigette Ocran,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,121,
14,Margaret Anne Hubbell,0,,,,,,,,,,,,,,,
15,Alex Elzinga,0,,,,,,,,,,,,,,,
16,School Totals,200,.441,.418,.400,.327,38.2,51.2,45.3,75.0,14.9,10.0,26.6,100.0,75.7,98.6,
