,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Auburn ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Brandy Montgomery,32,5,15,.333,4,8,.500,1,7,.143,3,3,1.000,2,3,5,2,0,0,0,2,14
1,Katie Frerking,32,4,12,.333,4,7,.571,0,5,.000,3,3,1.000,0,5,5,4,1,0,2,2,11
2,Janiah McKay,28,4,12,.333,3,8,.375,1,4,.250,0,0,,0,1,1,2,1,0,5,1,9
3,Jazmine Jones,27,0,4,.000,0,4,.000,0,0,,0,0,,2,1,3,1,1,0,0,4,0
4,Tra'Cee Tanner,26,5,14,.357,5,14,.357,0,0,,3,6,.500,1,7,8,1,0,1,3,2,13
6,Erica Sanders,19,1,3,.333,1,3,.333,0,0,,0,0,,1,1,2,0,2,0,3,4,2
7,Khady Dieng,13,1,4,.250,0,1,.000,1,3,.333,0,0,,0,1,1,2,0,0,2,1,3
8,Cabriana Capers,12,0,3,.000,0,3,.000,0,0,,0,0,,3,1,4,0,0,0,0,2,0
9,Jessica Jones,10,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0
10,Bria Johnson,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,School Totals,200,20,68,.294,17,49,.347,3,19,.158,9,12,.750,9,21,30,12,5,1,15,20,52
