,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Ohio State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Katherine Ups,28,.227,.227,.455,.000,11.4,0.0,6.7,7.5,0.0,0.0,8.3,17.2,67,117,
1,Joanna Smith,26,.516,.417,.389,.500,0.0,4.4,1.8,0.0,1.9,0.0,12.0,38.5,104,111,
2,Stephanie Reid,25,.200,.200,.200,.000,6.4,4.6,5.6,47.1,2.0,0.0,37.5,12.8,64,111,
3,Cassie Oursler,22,.750,.750,.000,.000,0.0,20.8,8.6,11.0,0.0,7.9,20.0,9.1,121,105,
4,Brittany Morrison,17,.000,.000,.000,.000,9.4,33.6,19.4,10.7,2.9,0.0,0.0,11.8,30,102,
6,Courtney Wilkins,22,.704,.667,.778,.222,7.3,20.8,12.8,0.0,0.0,0.0,9.2,19.8,139,111,
7,Gabi Bade,14,.000,.000,.667,.000,11.4,16.3,13.4,0.0,0.0,0.0,45.5,31.5,7,114,
8,Karin Moss,11,.000,.000,.333,.000,7.3,10.4,8.6,16.5,0.0,0.0,40.0,18.2,17,114,
9,Mirte Scheper,10,.517,1.000,.000,4.000,8.0,0.0,4.7,0.0,0.0,0.0,0.0,11.1,108,116,
10,Mariah Suchan,9,.606,.500,.000,.500,17.8,63.5,36.6,0.0,0.0,0.0,0.0,10.9,152,99,
11,Camera Miley,7,.507,.500,.400,.800,22.9,0.0,13.4,0.0,7.0,0.0,0.0,38.8,119,101,
12,Liisa Ups,6,.500,.500,.250,.000,0.0,19.0,7.8,76.9,0.0,0.0,0.0,26.8,120,113,
13,Ayoleka Sodade,3,.513,.000,.000,2.000,0.0,76.2,31.4,0.0,0.0,0.0,0.0,25.1,136,100,
14,School Totals,200,.409,.358,.378,.297,36.0,74.3,51.8,50.0,4.9,4.3,15.9,100.0,84.1,107.3,
