,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Buffalo ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Katherine Ups,28,2,11,.182,1,6,.167,1,5,.200,0,0,,4,0,4,1,0,0,1,1,5
1,Joanna Smith,26,6,18,.333,3,11,.273,3,7,.429,8,9,.889,0,1,1,0,1,0,3,4,23
2,Stephanie Reid,25,1,5,.200,1,4,.250,0,1,.000,0,0,,2,1,3,6,1,0,3,2,2
3,Cassie Oursler,22,3,4,.750,3,4,.750,0,0,,0,0,,0,4,4,1,0,2,1,4,6
4,Brittany Morrison,17,0,5,.000,0,5,.000,0,0,,0,0,,2,5,7,1,1,0,0,3,0
6,Courtney Wilkins,22,4,9,.444,0,2,.000,4,7,.571,2,2,1.000,2,4,6,0,0,0,1,3,14
7,Gabi Bade,14,0,6,.000,0,2,.000,0,4,.000,0,0,,2,2,4,0,0,0,5,0,0
8,Karin Moss,11,0,3,.000,0,2,.000,0,1,.000,0,0,,1,1,2,1,0,0,2,1,0
9,Mirte Scheper,10,1,1,1.000,1,1,1.000,0,0,,1,4,.250,1,0,1,0,0,0,0,1,3
10,Mariah Suchan,9,1,2,.500,1,2,.500,0,0,,1,1,1.000,2,5,7,0,0,0,0,4,3
11,Camera Miley,7,2,5,.400,1,3,.333,1,2,.500,2,4,.500,2,0,2,0,1,0,0,1,7
12,Liisa Ups,6,2,4,.500,2,3,.667,0,1,.000,0,0,,0,1,1,1,0,0,0,0,4
13,Ayoleka Sodade,3,0,1,.000,0,1,.000,0,0,,2,2,1.000,0,2,2,0,0,0,0,0,2
14,School Totals,200,22,74,.297,13,46,.283,9,28,.321,16,22,.727,18,26,44,11,4,2,16,24,69
