,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Myisha Hines-Allen,23,.715,.706,.000,.059,5.8,22.7,16.0,13.2,2.5,0.0,0.0,37.3,148,80,
1,Mariya Moore,23,.741,.643,.571,1.143,17.4,3.8,9.2,25.7,2.5,0.0,16.0,26.8,146,96,
2,Arica Carter,20,.500,.500,.200,.000,6.7,4.3,5.3,26.7,2.8,4.0,28.6,17.2,99,92,
3,Cortnee Walton,17,.311,.200,.000,.600,23.5,15.3,18.6,0.0,0.0,9.4,13.7,21.2,87,87,
4,Briahanna Jackson,15,.506,.333,.333,.667,8.9,17.4,14.0,42.6,3.8,0.0,20.5,16.0,127,81,
6,Sam Fuehring,27,.603,.667,.000,.222,4.9,6.4,5.8,23.6,0.0,5.9,9.2,19.8,123,96,
7,Taja Cole,20,.000,.000,1.000,.000,0.0,4.3,2.6,11.8,0.0,4.0,0.0,2.5,95,99,
8,AD Durr,18,.500,.500,.286,.000,0.0,29.0,17.5,8.1,0.0,0.0,12.5,21.9,95,81,
9,Dakota Weatherford,18,.639,.600,.200,.200,0.0,9.7,5.8,0.0,9.5,0.0,0.0,14.9,136,74,
10,Brianna Jones,10,,,,,0.0,8.7,5.3,0.0,0.0,0.0,,0.0,,97,
11,Erin DeGrate,9,.714,.667,.000,1.333,0.0,38.6,23.4,17.7,0.0,0.0,29.6,37.0,105,73,
12,School Totals,200,.604,.573,.161,.339,33.3,65.2,52.6,64.7,10.0,12.0,12.2,100.0,124.3,85.7,
