,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,DePaul ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jessica January,37,10,17,.588,9,15,.600,1,2,.500,4,7,.571,0,8,8,5,0,0,4,2,25
1,Chanise Jenkins,32,3,10,.300,2,5,.400,1,5,.200,5,6,.833,1,2,3,2,0,0,2,0,12
2,Brooke Schulte,32,2,5,.400,1,2,.500,1,3,.333,0,0,,0,2,2,0,0,0,1,3,5
3,Jacqui Grant,21,1,3,.333,0,2,.000,1,1,1.000,0,0,,0,2,2,0,0,0,0,5,3
4,Megan Podkowa,20,1,4,.250,0,3,.000,1,1,1.000,3,4,.750,1,1,2,2,1,1,2,4,6
6,Ashton Millender,29,5,5,1.000,3,3,1.000,2,2,1.000,0,0,,3,1,4,0,0,0,0,1,12
7,Mart'e Grays,18,3,8,.375,2,5,.400,1,3,.333,2,4,.500,2,2,4,3,0,0,0,1,9
8,Tanita Allen,9,0,1,.000,0,0,,0,1,.000,1,2,.500,0,3,3,1,1,1,0,2,1
9,Laura Prochaska,2,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
10,School Totals,200,25,53,.472,17,35,.486,8,18,.444,15,23,.652,7,21,28,14,2,2,9,18,73
