,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,DePaul ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jessica January,34,8,16,.500,6,13,.462,2,3,.667,2,4,.500,0,3,3,4,0,0,2,2,20
1,Chanise Jenkins,34,3,12,.250,2,6,.333,1,6,.167,3,4,.750,2,2,4,5,3,0,4,0,10
2,Megan Podkowa,30,0,4,.000,0,3,.000,0,1,.000,0,0,,4,2,6,1,1,1,0,1,0
3,Brooke Schulte,26,4,8,.500,4,8,.500,0,0,,1,1,1.000,4,3,7,3,1,0,0,3,9
4,Jacqui Grant,25,6,14,.429,3,6,.500,3,8,.375,0,0,,0,1,1,2,1,0,1,3,15
6,Mart'e Grays,22,5,8,.625,1,3,.333,4,5,.800,0,0,,2,4,6,1,0,0,0,1,14
7,Ashton Millender,22,0,2,.000,0,0,,0,2,.000,0,0,,0,1,1,2,3,0,1,2,0
8,Tanita Allen,7,1,2,.500,0,0,,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3
9,Laura Prochaska,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,School Totals,200,27,66,.409,16,39,.410,11,27,.407,6,9,.667,12,17,29,18,9,1,8,13,71
