,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Connecticut ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,April Robinson,38,.641,.625,1.000,.083,5.5,12.8,8.9,30.7,0.0,0.0,24.3,21.7,110,145,
1,Amadea Szamosi,37,.084,.091,.364,.182,8.5,6.6,7.6,0.0,1.5,0.0,0.0,16.1,30,145,
2,Deva'Nyar Workman,36,.363,.318,.227,.136,11.7,6.7,9.4,29.7,1.6,2.2,7.9,35.3,86,144,
3,Kadri-Ann Lass,33,.455,.455,.273,.000,3.2,11.0,6.8,0.0,0.0,0.0,15.4,19.8,84,146,
4,Emilie Gronas,24,.500,.500,.667,.000,0.0,15.2,7.0,9.6,2.4,0.0,25.0,8.4,86,138,
6,Chassidy Omogrosso,16,.000,.000,.500,.000,0.0,15.2,7.0,0.0,3.5,0.0,50.0,12.6,0,136,
7,Angela Staffileno,5,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,0,150,
8,Brianna Thomas,3,,,,,35.1,0.0,18.8,0.0,0.0,0.0,,0.0,241,152,
9,Julijana Vojinovic,3,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,33.5,0,152,
10,Eniko Kuttor,2,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,300,152,
11,Conor Richardson,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,150,
12,Erin Waskowiak,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,147,
13,School Totals,200,.376,.362,.462,.092,28.9,48.5,38.0,42.1,5.6,2.0,15.0,100.0,71.8,136.6,
