,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Indiana ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tyra Buss,40,8,21,.381,7,15,.467,1,6,.167,6,9,.667,0,7,7,5,2,0,4,1,23
1,Amanda Cahill,39,5,8,.625,3,5,.600,2,3,.667,2,4,.500,1,5,6,2,0,2,3,3,14
2,Alexis Gassion,38,1,10,.100,1,8,.125,0,2,.000,2,4,.500,0,5,5,2,0,0,1,0,4
3,Karlee McBride,26,4,7,.571,3,4,.750,1,3,.333,1,3,.333,0,1,1,1,3,1,2,3,10
4,Jenn Anderson,24,2,4,.500,2,4,.500,0,0,,1,2,.500,2,1,3,0,0,0,1,2,5
6,Kym Royster,16,1,2,.500,1,2,.500,0,0,,2,2,1.000,2,4,6,0,0,0,1,3,4
7,Jess Walter,15,0,1,.000,0,1,.000,0,0,,2,2,1.000,1,0,1,0,1,0,1,0,2
8,Lyndsay Leikem,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
9,Tyshee Towner,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
10,School Totals,200,21,53,.396,17,39,.436,4,14,.286,16,26,.615,6,25,31,10,6,3,13,12,62
