,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Iona ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Marina Lizarazu,39,5,16,.313,4,11,.364,1,5,.200,0,0,,0,1,1,6,0,0,6,2,11
1,Philecia Gilmore,38,7,19,.368,0,4,.000,7,15,.467,0,0,,2,3,5,1,3,0,3,3,21
2,Joy Adams,35,3,12,.250,3,11,.273,0,1,.000,0,0,,3,3,6,2,5,1,1,2,6
3,Karynda DuPree,21,0,1,.000,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,1,3,0
4,Aaliyah Robinson,17,1,3,.333,1,1,1.000,0,2,.000,0,0,,1,0,1,2,0,0,0,0,2
6,Treyanna Clay,32,3,6,.500,3,6,.500,0,0,,4,5,.800,4,1,5,0,1,0,0,3,10
7,Alexis Lewis,17,2,8,.250,0,1,.000,2,7,.286,2,2,1.000,1,2,3,1,0,0,0,4,8
8,Iida Ahvenainen,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,School Totals,200,21,65,.323,11,35,.314,10,30,.333,6,7,.857,12,12,24,12,9,1,11,17,58
