,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Chanise Jenkins,26,.700,.700,.400,.000,0.0,8.4,5.0,23.8,0.0,0.0,0.0,8.6,175,96,
1,Jessica January,24,.753,.773,.273,.182,0.0,12.1,7.2,32.9,4.4,0.0,20.2,27.6,128,84,
2,Megan Podkowa,24,.719,.667,.167,.333,0.0,24.2,14.3,27.5,2.2,3.0,22.5,16.5,133,78,
3,Brooke Schulte,24,.477,.450,.300,.100,13.2,3.0,7.2,5.5,0.0,0.0,0.0,19.4,129,100,
4,Jacqui Grant,22,.579,.625,.250,.167,19.1,16.5,17.6,7.5,2.4,3.3,7.2,28.1,123,82,
6,Mart'e Grays,19,.712,.786,.429,.429,22.2,23.0,22.6,29.5,2.8,0.0,19.4,24.2,137,79,
7,Ashton Millender,19,.633,.583,.500,.667,11.1,15.3,13.6,6.9,0.0,0.0,20.5,22.9,118,91,
8,Tanita Allen,14,.707,.625,.500,.500,0.0,10.4,6.1,0.0,0.0,0.0,17.0,18.7,123,94,
9,Laura Prochaska,11,.690,1.000,.000,4.000,9.6,13.2,11.7,0.0,0.0,0.0,0.0,11.2,153,92,
10,Amarah Coleman,8,.200,.200,.200,.000,0.0,18.2,10.8,15.6,0.0,0.0,0.0,27.8,68,87,
11,Brandi Harvey-Carr,5,1.000,1.000,.000,.000,0.0,29.1,17.2,27.6,0.0,0.0,50.0,17.8,100,80,
12,Meri Bennett-Swanson,4,.000,.000,.000,.000,26.3,0.0,10.8,0.0,0.0,0.0,0.0,11.1,75,99,
13,School Totals,200,.618,.616,.304,.290,39.5,70.9,58.1,64.9,6.6,3.6,13.3,100.0,127.6,88.2,
