,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Leticia Romero,35,.616,.550,.100,.800,8.2,18.4,13.6,21.5,0.0,0.0,18.2,22.4,125,87,
1,Brittany Brown,34,.559,.500,.000,.250,21.0,19.0,19.9,21.1,6.6,0.0,36.0,19.4,97,72,
2,Adut Bulgak,32,.750,.750,.500,.000,8.9,28.2,19.1,6.4,3.5,9.1,33.3,22.2,101,70,
3,Shakayla Thomas,23,.410,.417,.000,.250,12.4,16.8,14.7,28.5,2.4,0.0,7.0,29.5,107,81,
4,Ivey Slaughter,9,.250,.250,.000,.000,15.9,14.3,15.1,0.0,6.2,0.0,20.0,26.3,59,73,
6,Emiah Bingley,33,.500,.500,.600,.000,0.0,3.9,2.1,4.9,3.4,0.0,16.7,8.6,104,82,
7,Maria Conde,15,.508,.500,.500,1.000,0.0,8.6,4.5,11.0,0.0,0.0,0.0,9.1,133,88,
8,Kai James,11,.763,.750,.000,1.000,13.0,23.5,18.5,22.6,5.1,0.0,34.2,37.8,105,74,
9,Ama Degbeon,7,,,,,0.0,18.4,9.7,0.0,0.0,0.0,100.0,6.8,0,87,
10,Rachel Antoniadou,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,47.4,0,90,
11,School Totals,200,.562,.536,.182,.345,46.4,83.9,66.1,55.6,15.5,7.3,24.7,100.0,101.4,77.5,
