,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Florida State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Leticia Romero,35,5,10,.500,4,9,.444,1,1,1.000,6,8,.750,2,5,7,4,0,0,3,1,17
1,Brittany Brown,34,4,8,.500,4,8,.500,0,0,,2,2,1.000,5,5,10,4,4,0,5,3,10
2,Adut Bulgak,32,6,10,.600,3,5,.600,3,5,.600,0,0,,2,7,9,1,2,3,5,1,15
3,Shakayla Thomas,23,5,12,.417,5,12,.417,0,0,,1,3,.333,2,3,5,3,1,0,1,3,11
4,Ivey Slaughter,9,1,4,.250,1,4,.250,0,0,,0,0,,1,1,2,0,1,0,1,5,2
6,Emiah Bingley,33,2,5,.400,1,2,.500,1,3,.333,0,0,,0,1,1,1,2,0,1,1,5
7,Maria Conde,15,1,2,.500,1,1,1.000,0,1,.000,1,2,.500,0,1,1,1,0,0,0,1,3
8,Kai James,11,3,4,.750,3,4,.750,0,0,,3,4,.750,1,2,3,1,1,0,3,3,9
9,Ama Degbeon,7,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0
10,Rachel Antoniadou,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
11,School Totals,200,27,55,.491,22,45,.489,5,10,.500,13,19,.684,13,26,39,15,11,3,21,18,72
