,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Mississippi State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Dominique Dillingham,37,2,6,.333,2,5,.400,0,1,.000,0,0,,2,3,5,2,2,0,1,2,4
1,Morgan William,29,1,8,.125,1,5,.200,0,3,.000,0,0,,0,2,2,0,0,0,3,2,2
2,Victoria Vivians,27,3,15,.200,3,12,.250,0,3,.000,0,0,,2,1,3,1,0,0,2,3,6
3,Chinwe Okorie,17,0,5,.000,0,5,.000,0,0,,0,0,,1,1,2,1,1,0,1,3,0
4,Ketara Chapel,11,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,2,1,0
6,Breanna Richardson,21,2,8,.250,2,7,.286,0,1,.000,2,4,.500,1,2,3,2,0,0,4,0,6
7,Teaira McCowan,18,5,6,.833,5,6,.833,0,0,,0,1,.000,2,2,4,1,1,0,3,4,10
8,Blair Schaefer,11,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2
9,Jazzmun Holmes,11,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,3,1,0,0,0,0
10,La'Karis Salter,10,3,10,.300,3,5,.600,0,5,.000,0,0,,2,2,4,0,1,0,0,1,6
11,Sherise Williams,6,1,1,1.000,1,1,1.000,0,0,,0,2,.000,2,1,3,0,0,0,0,2,2
12,Kayla Nevitt,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
13,School Totals,200,18,63,.286,18,49,.367,0,14,.000,2,7,.286,12,15,27,10,6,0,16,19,38
