,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Elisha Davis,29,.546,.500,.200,.400,0.0,8.1,4.8,35.8,0.0,0.0,0.0,21.0,140,87,
1,Sophie Brunner,25,.571,.571,.000,.000,7.0,18.8,14.0,27.1,4.4,0.0,36.4,22.7,90,72,
2,Arnecia Hawkins,23,.273,.273,.182,.000,7.6,10.2,9.2,28.1,7.2,0.0,8.3,27.0,82,69,
3,Katie Hempen,20,1.250,1.250,.750,.000,8.7,5.9,7.0,12.5,2.8,0.0,27.3,28.4,139,81,
4,Kelsey Moos,16,.500,.500,.500,.000,21.7,36.8,30.7,0.0,10.4,0.0,33.3,9.7,93,50,
6,Sabrina Haines,21,.576,.500,.333,.333,0.0,28.0,16.7,7.8,0.0,0.0,12.7,19.4,113,77,
7,Quinn Dornstauder,19,.672,.600,.000,.400,9.2,12.4,11.1,0.0,2.9,5.8,0.0,16.0,151,76,
8,Peace Amukamara,16,.500,.500,.250,.000,0.0,7.4,4.4,20.0,6.9,0.0,42.9,22.6,69,71,
9,Eliza Normen,11,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,10.1,50.0,9.4,77,86,
10,Kianna Ibis,7,.000,.000,.000,2.000,24.8,16.8,20.1,0.0,7.9,15.9,34.7,21.3,22,59,
11,Armani Hawkins,5,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.7,82,90,
12,Tia Kanoa,4,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0,90,
13,Charnea Johnson-Chapman,4,,,,,0.0,29.4,17.5,0.0,0.0,27.8,,0.0,,65,
14,School Totals,200,.599,.588,.263,.175,30.4,70.6,54.4,60.0,18.1,11.1,20.6,100.0,102.8,72.2,
