,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Kentucky ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Janee Thompson,38,4,14,.286,3,9,.333,1,5,.200,7,8,.875,0,3,3,4,0,0,2,2,16
1,Makayla Epps,34,1,6,.167,0,3,.000,1,3,.333,10,14,.714,2,5,7,4,0,0,2,1,13
2,Evelyn Akhator,22,5,10,.500,5,10,.500,0,0,,1,3,.333,2,2,4,3,0,0,0,3,11
3,Maci Morris,19,4,6,.667,0,1,.000,4,5,.800,0,0,,0,1,1,0,0,0,2,3,12
4,Batouly Camara,15,2,4,.500,2,4,.500,0,0,,1,2,.500,0,4,4,0,1,1,0,4,5
6,Alexis Jennings,33,4,12,.333,4,12,.333,0,0,,5,5,1.000,2,6,8,0,1,6,3,0,13
7,Taylor Murray,27,2,4,.500,2,4,.500,0,0,,2,2,1.000,0,5,5,1,1,0,0,1,6
8,Alyssa Rice,12,0,2,.000,0,2,.000,0,0,,3,4,.750,2,2,4,0,0,1,1,3,3
9,School Totals,200,22,58,.379,16,45,.356,6,13,.462,29,38,.763,8,28,36,12,3,8,10,17,79
