,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Erica McCall,26,.642,.611,.333,.444,0.0,40.5,24.0,6.6,0.0,6.5,0.0,19.4,157,75,
1,Karlie Samuelson,26,.696,.667,.667,.667,23.7,8.1,14.4,11.7,2.1,3.3,11.4,15.8,156,81,
2,Lili Thompson,23,.744,.700,.400,.300,0.0,0.0,0.0,16.9,2.3,0.0,0.0,23.1,179,85,
3,Kaylee Johnson,22,.726,.750,.000,.250,14.0,33.5,25.6,27.1,0.0,3.9,36.0,29.6,100,78,
4,Briana Roberson,15,.250,.250,.333,.000,10.3,7.0,8.3,0.0,0.0,0.0,14.3,21.9,68,88,
6,Marta Sniezek,27,.576,.583,.333,.333,5.7,11.7,9.3,50.2,0.0,0.0,12.7,13.7,153,87,
7,Brittany McPhee,19,.580,.400,.200,.800,24.3,16.6,19.7,7.9,0.0,0.0,12.9,19.1,140,86,
8,Kailee Johnson,15,.250,.250,.250,.000,10.3,28.1,20.8,9.4,7.1,5.7,33.3,18.7,59,63,
9,Alanna Smith,14,.750,.750,.333,.000,11.0,15.0,13.4,14.6,0.0,12.2,33.3,30.1,98,75,
10,Kiran Lakhian,5,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,9.4,0,91,
11,Tess Picknell,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,91,
12,Alex Green,3,,,,,0.0,35.1,20.8,0.0,0.0,0.0,100.0,15.6,0,82,
13,Alexa Romano,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23.4,0,88,
14,School Totals,200,.616,.583,.317,.317,50.0,86.8,71.9,64.5,5.3,14.9,19.8,100.0,113.3,77.3,
