,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jessica Thomas,37,.233,.233,.400,.000,0.0,19.3,7.5,4.4,3.9,0.0,11.8,19.8,50,93,
1,Adrienne Motley,36,.479,.441,.294,.353,7.6,7.9,7.7,22.0,2.7,0.0,4.8,24.6,111,100,
2,Michelle Woods,26,.112,.125,.375,.250,10.5,11.0,10.7,29.1,1.9,3.8,25.3,19.6,48,98,
3,Erykah Davenport,17,.000,.000,.000,.000,5.3,8.4,6.5,0.0,2.9,5.9,0.0,7.6,19,97,
4,Keyona Hayes,14,.223,.250,.000,.250,13.0,10.2,11.9,0.0,3.5,0.0,0.0,13.6,70,97,
6,Emese Hof,26,.519,.500,.071,.357,7.0,38.5,19.2,8.9,3.7,15.4,11.0,30.1,102,81,
7,Laura Cornelius,24,.818,.818,.545,.000,0.0,0.0,0.0,10.2,2.0,0.0,15.4,23.3,132,102,
8,Keyanna Harris,15,.606,.500,.000,.500,12.1,9.5,11.1,11.8,3.2,0.0,0.0,14.0,148,99,
9,Khaila Prather,3,,,,,0.0,0.0,0.0,0.0,32.4,0.0,,0.0,,33,
10,Nigia Greene,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,109,
11,School Totals,200,.425,.408,.276,.211,29.5,67.9,44.4,46.4,17.1,15.0,10.7,100.0,86.6,90.2,
