,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Tennessee ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Diamond DeShields,35,9,17,.529,9,15,.600,0,2,.000,6,7,.857,0,5,5,1,3,0,0,3,24
1,Mercedes Russell,31,5,9,.556,5,9,.556,0,0,,2,2,1.000,2,4,6,3,1,2,1,4,12
2,Jaime Nared,30,4,10,.400,3,9,.333,1,1,1.000,2,2,1.000,4,2,6,2,0,0,2,3,11
3,Jordan Reynolds,29,4,7,.571,4,7,.571,0,0,,4,5,.800,0,3,3,2,2,0,2,0,12
4,Bashaara Graves,24,3,4,.750,3,4,.750,0,0,,2,2,1.000,4,7,11,1,1,1,2,2,8
6,Andraya Carter,21,2,4,.500,2,3,.667,0,1,.000,0,0,,0,2,2,1,1,0,1,0,4
7,Te'a Cooper,11,0,2,.000,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,2,1,0
8,Nia Moore,8,2,2,1.000,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,5,4
9,Alexa Middleton,6,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0
10,Kortney Dunbar,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Meme Jackson,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,School Totals,200,29,56,.518,28,52,.538,1,4,.250,16,18,.889,10,24,34,11,8,3,11,18,75
