,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Connecticut ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Brooke McCarty,40,.579,.583,.833,.167,2.8,14.3,7.0,0.0,0.0,0.0,0.0,16.0,136,139,
1,Ariel Atkins,33,.731,.731,.308,.000,3.4,5.8,4.3,14.9,5.4,0.0,7.1,21.1,148,128,
2,Celina Rodrigo,33,.200,.200,.800,.000,0.0,11.5,4.3,34.2,5.4,0.0,16.7,9.0,94,127,
3,Empress Davenport,25,.420,.300,.800,.400,8.9,30.5,16.8,13.1,0.0,0.0,33.8,17.6,80,137,
4,Imani Boyette,24,.333,.333,.167,.000,9.3,31.7,17.5,7.4,0.0,4.9,50.0,24.8,44,133,
6,Lashann Higgs,19,.476,.474,.105,.105,17.5,10.0,14.8,0.0,6.2,0.0,4.8,54.6,105,125,
7,Kelsey Lang,16,.000,.000,.000,.000,20.8,11.9,17.5,0.0,3.7,7.4,33.3,9.3,43,126,
8,Brianna Taylor,6,.169,.000,.000,1.000,18.5,0.0,11.7,0.0,0.0,0.0,0.0,23.8,62,141,
9,Jordan Hosey,4,,,,,27.8,0.0,17.5,38.5,14.8,0.0,,0.0,229,106,
10,School Totals,200,.479,.469,.391,.125,38.9,76.2,52.6,50.0,14.7,5.9,16.1,100.0,95.6,126.5,
