,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Oregon State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Ashley Beverly-Kelley,31,.226,.237,.263,.105,2.4,22.0,11.0,18.9,1.6,0.0,20.1,35.3,38,88,
1,ArJae' Saunders,24,.091,.091,.091,.000,3.1,0.0,1.8,0.0,2.0,0.0,8.3,22.0,19,96,
2,Caitlyn Ramirez,22,.111,.111,.444,.000,0.0,31.0,13.5,0.0,0.0,0.0,10.0,20.0,21,87,
3,Amanda Mendoza,20,.000,.000,.750,.000,3.8,0.0,2.1,50.0,0.0,0.0,0.0,8.8,21,101,
4,Kristen Emerson,19,.411,.350,.100,.200,7.9,30.8,17.9,0.0,0.0,18.3,0.0,25.2,86,79,
6,Claresa Banks,17,.193,.125,.750,.625,4.4,5.7,5.0,24.4,0.0,5.1,16.4,31.6,38,96,
7,Ta'Kierra Gibbs,16,.000,.000,.200,.000,0.0,18.3,8.0,20.8,6.0,0.0,16.7,16.5,4,79,
8,Casie Johnson,15,.000,.000,.000,.000,5.0,13.0,8.5,0.0,0.0,0.0,20.0,14.7,4,96,
9,Jayla Chills,13,1.000,1.000,.000,.000,0.0,7.5,3.3,0.0,7.4,0.0,0.0,3.4,200,82,
10,La'Tia Fils-Aime',11,.000,.000,.000,.000,0.0,0.0,0.0,0.0,4.4,0.0,0.0,8.0,0,91,
11,Lauren Day,5,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,300,101,
12,Amahni Upshaw,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22.0,0,100,
13,Daija Williams,3,,,,,0.0,32.5,14.2,0.0,0.0,0.0,,0.0,,87,
14,School Totals,200,.198,.182,.297,.122,13.2,68.3,37.2,50.0,8.4,10.9,14.2,100.0,37.3,88.0,
