,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Troy ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Ashley Beverly-Kelley,31,4,19,.211,3,14,.214,1,5,.200,0,2,.000,1,7,8,1,1,0,5,2,9
1,ArJae' Saunders,24,1,11,.091,1,10,.100,0,1,.000,0,0,,1,0,1,0,1,0,1,2,2
2,Caitlyn Ramirez,22,1,9,.111,1,5,.200,0,4,.000,0,0,,0,7,7,0,0,0,1,4,2
3,Amanda Mendoza,20,0,4,.000,0,1,.000,0,3,.000,0,0,,1,0,1,3,0,0,0,2,0
4,Kristen Emerson,19,3,10,.300,2,9,.222,1,1,1.000,2,2,1.000,2,6,8,0,0,4,0,1,9
6,Claresa Banks,17,1,8,.125,1,2,.500,0,6,.000,2,5,.400,1,1,2,1,0,1,2,1,4
7,Ta'Kierra Gibbs,16,0,5,.000,0,4,.000,0,1,.000,0,0,,0,3,3,1,2,0,1,3,0
8,Casie Johnson,15,0,4,.000,0,4,.000,0,0,,0,0,,1,2,3,0,0,0,1,0,0
9,Jayla Chills,13,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,2,0,0,0,2
10,La'Tia Fils-Aime',11,0,2,.000,0,2,.000,0,0,,0,0,,0,0,0,0,1,0,0,2,0
11,Lauren Day,5,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3
12,Amahni Upshaw,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,1,0
13,Daija Williams,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
14,School Totals,200,12,74,.162,9,52,.173,3,22,.136,4,9,.444,7,28,35,6,7,5,13,18,31
