,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Brooke McCarty,39,.628,.636,.273,.182,0.0,10.7,6.3,19.7,0.0,0.0,14.4,15.7,123,92,
1,Empress Davenport,33,.367,.333,.111,.444,0.0,7.6,4.5,0.0,0.0,0.0,31.7,21.0,55,94,
2,Ariel Atkins,26,.649,.500,.222,.778,14.0,16.0,15.2,0.0,4.0,0.0,7.6,22.2,144,79,
3,Celina Rodrigo,25,.000,.000,.500,.000,9.7,16.7,13.8,29.6,0.0,0.0,33.3,10.6,52,87,
4,Imani Boyette,24,.626,.583,.000,.417,15.2,24.3,20.6,10.9,0.0,6.8,6.6,27.9,135,79,
6,Brianna Taylor,19,.508,.500,.000,1.000,0.0,26.3,15.6,0.0,8.1,0.0,41.0,11.3,62,63,
7,Lashann Higgs,15,.375,.375,.250,.000,0.0,5.6,3.3,0.0,10.3,0.0,27.3,32.3,59,73,
8,Kelsey Lang,11,.300,.300,.000,.000,33.1,0.0,13.5,0.0,0.0,0.0,0.0,40.0,86,99,
9,Jordan Hosey,4,.000,.000,.000,.000,30.3,0.0,12.3,0.0,0.0,0.0,0.0,11.0,51,100,
10,Sara Hattis,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,99,
11,School Totals,200,.477,.432,.152,.303,36.4,66.7,54.3,37.0,10.3,4.1,17.5,100.0,92.3,82.1,
