,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Oregon State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Sydney Wiese,39,4,9,.444,2,3,.667,2,6,.333,3,4,.750,0,7,7,4,1,1,0,0,13
1,Gabriella Hanson,34,6,13,.462,5,10,.500,1,3,.333,0,0,,0,2,2,2,0,0,3,3,13
2,Mikayla Pivec,33,4,6,.667,3,5,.600,1,1,1.000,0,0,,3,4,7,3,0,0,2,2,9
3,Marie Gulich,31,6,17,.353,6,16,.375,0,1,.000,0,0,,6,6,12,3,0,1,0,1,12
4,Breanna Brown,22,3,4,.750,3,4,.750,0,0,,2,4,.500,2,3,5,0,0,3,2,2,8
6,Kolbie Orum,20,3,7,.429,3,7,.429,0,0,,2,2,1.000,3,4,7,1,1,0,1,1,8
7,Katie McWilliams,9,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,1,0,0,0,1,0
8,Taylor Kalmer,7,0,2,.000,0,0,,0,2,.000,1,2,.500,0,2,2,0,0,0,1,0,1
9,Kat Tudor,5,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,0,0
10,School Totals,200,26,61,.426,22,46,.478,4,15,.267,8,12,.667,14,28,42,14,2,6,9,10,64
