,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Diamond DeShields,38,.640,.571,.071,.714,2.8,10.3,6.7,38.8,3.1,0.0,5.2,27.0,137,86,
1,Jordan Reynolds,38,.216,.167,.167,.333,0.0,2.6,1.3,15.1,3.1,2.3,0.0,9.6,67,88,
2,Mercedes Russell,33,.593,.500,.000,1.000,3.3,26.6,15.5,7.1,1.8,2.7,14.8,21.7,112,79,
3,Alexa Middleton,26,.169,.000,.000,1.000,0.0,11.3,5.9,0.0,0.0,0.0,0.0,5.9,42,92,
4,Jaime Nared,23,.369,.250,.250,.750,4.7,25.5,15.6,0.0,0.0,0.0,8.6,26.8,81,85,
6,Schaquilla Nunn,25,.566,.600,.000,.500,30.3,31.2,30.8,0.0,0.0,0.0,19.7,32.2,105,83,
7,Meme Jackson,16,.250,.250,.250,.000,0.0,6.1,3.2,0.0,3.6,11.1,33.3,19.9,34,79,
8,Kortney Dunbar,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,98,
9,School Totals,200,.488,.423,.096,.635,27.0,78.0,53.8,40.9,8.7,8.9,11.7,100.0,95.7,82.6,
