,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Tennessee ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Diamond DeShields,38,8,14,.571,8,13,.615,0,1,.000,8,10,.800,1,4,5,5,2,0,1,2,24
1,Jordan Reynolds,38,1,6,.167,1,5,.200,0,1,.000,1,2,.500,0,1,1,3,2,1,0,0,3
2,Mercedes Russell,33,4,8,.500,4,8,.500,0,0,,6,8,.750,1,9,10,1,1,1,2,1,14
3,Alexa Middleton,26,0,2,.000,0,2,.000,0,0,,1,2,.500,0,3,3,0,0,0,0,2,1
4,Jaime Nared,23,2,8,.250,2,6,.333,0,2,.000,4,6,.667,1,6,7,0,0,0,1,4,8
6,Schaquilla Nunn,25,6,10,.600,6,10,.600,0,0,,2,5,.400,7,8,15,0,0,0,3,1,14
7,Meme Jackson,16,1,4,.250,1,3,.333,0,1,.000,0,0,,0,1,1,0,1,2,2,2,2
8,Kortney Dunbar,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,School Totals,200,22,52,.423,22,47,.468,0,5,.000,22,33,.667,10,32,42,9,6,4,9,12,66
