,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kindred Wesemann,37,.535,.500,.857,.143,0.0,6.6,3.6,26.2,3.3,3.9,16.8,25.0,114,88,
1,Breanna Lewis,32,.641,.647,.000,.118,18.5,26.5,22.9,20.4,1.9,0.0,10.1,32.1,128,84,
2,Karyla Middlebrook,30,.503,.500,.286,.286,14.8,4.0,8.9,42.4,8.1,0.0,27.6,18.7,112,79,
3,Kayla Goth,16,.000,.000,.333,.000,0.0,7.6,4.2,19.2,0.0,0.0,40.0,16.1,30,97,
4,Peyton Williams,15,.667,.667,.000,.000,19.8,0.0,8.9,0.0,0.0,0.0,25.0,13.8,105,100,
6,Shaelyn Martin,25,.641,.500,.000,2.000,11.9,24.2,18.7,19.7,7.3,0.0,44.4,14.0,100,73,
7,Kaylee Page,21,.600,.600,.800,.000,7.1,23.1,15.9,0.0,2.9,0.0,16.7,14.8,108,84,
8,Eternati Willock,11,.500,.500,.000,.000,0.0,22.0,12.1,32.5,0.0,26.0,50.0,18.8,72,77,
9,Jessica Sheble,7,,,,,0.0,17.3,9.5,0.0,0.0,40.8,,0.0,,73,
10,Lanie Page,5,1.500,1.500,1.000,.000,0.0,24.2,13.3,0.0,0.0,0.0,50.0,20.7,58,88,
11,Kelly Thomson,1,.000,.000,1.000,.000,0.0,100.0,66.7,0.0,0.0,0.0,0.0,51.7,0,50,
12,School Totals,200,.561,.545,.382,.182,44.4,75.8,61.7,80.8,16.7,17.9,23.2,100.0,101.5,81.8,
