,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jessica Thomas,37,.349,.273,.182,.364,0.0,6.4,3.5,11.5,0.0,0.0,19.0,21.6,73,97,
1,Keyona Hayes,34,.669,.636,.182,.182,13.1,24.2,19.3,0.0,0.0,3.9,14.4,20.7,126,89,
2,Keyanna Harris,29,.336,.200,.600,.400,0.0,12.2,6.8,6.7,3.9,9.2,33.8,15.5,56,81,
3,Adrienne Motley,23,.288,.167,.333,.333,0.0,10.2,5.7,8.6,0.0,0.0,12.7,17.4,70,95,
4,Erykah Davenport,19,1.026,1.000,.000,2.000,15.6,37.2,27.6,0.0,6.0,0.0,51.5,10.4,107,73,
6,Laura Cornelius,28,.438,.438,.625,.000,5.3,25.2,16.4,16.1,4.0,0.0,33.3,21.8,72,82,
7,Emese Hof,20,.645,.625,.000,.750,29.6,5.9,16.4,16.7,0.0,0.0,15.8,32.1,125,97,
8,Shaneese Bailey,8,.678,.500,.000,1.000,0.0,14.7,8.2,29.4,0.0,0.0,25.8,24.6,118,94,
9,Sarah Mortensen,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,99,
10,School Totals,200,.504,.433,.269,.385,37.0,82.4,62.3,36.4,8.5,10.0,22.6,100.0,87.3,84.5,
