,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Syracuse ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Brittney Sykes,38,8,19,.421,4,13,.308,4,6,.667,8,8,1.000,1,5,6,5,0,1,2,2,28
1,Alexis Peterson,38,10,21,.476,8,16,.500,2,5,.400,3,4,.750,2,2,4,8,5,1,5,2,25
2,Gabrielle Cooper,35,8,15,.533,0,0,,8,15,.533,0,0,,0,5,5,2,4,0,0,0,24
3,Briana Day,33,1,7,.143,1,7,.143,0,0,,3,4,.750,5,8,13,0,2,0,3,4,5
4,Isabella Slim,23,1,2,.500,0,0,,1,2,.500,0,2,.000,4,1,5,2,2,0,1,4,3
6,Bria Day,13,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,0,0,1,0,1,0
7,Dez Elmore,9,0,1,.000,0,1,.000,0,0,,0,0,,1,1,2,0,1,0,1,2,0
8,Abby Grant,5,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
9,Julia Chandler,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Chelayne Bailey,2,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
11,Jade Phillips,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
12,School Totals,200,28,67,.418,13,38,.342,15,29,.517,14,18,.778,13,24,37,18,14,3,12,16,85
