,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Oregon State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Madison Montgomery,32,.536,.536,.500,.000,0.0,17.9,8.2,10.0,4.0,6.8,6.7,27.1,98,85,
1,Raven Benton,26,.536,.462,.154,.462,4.7,5.5,5.0,37.5,0.0,0.0,6.0,37.1,113,103,
2,Jewelyn Sawyer,26,.350,.350,.200,.000,9.3,27.5,17.7,20.0,0.0,0.0,16.7,26.7,73,92,
3,Anna Kim,24,.000,.000,.286,.000,5.1,6.0,5.5,16.7,2.7,0.0,12.5,19.3,23,96,
4,Martina McCowan,20,.288,.333,.333,.333,6.1,14.3,9.8,11.1,3.2,0.0,0.0,10.0,83,91,
6,Gigi Hascheff,25,.200,.200,.000,.000,0.0,0.0,0.0,8.7,5.2,0.0,16.7,13.9,43,94,
7,Jessica Gertz,18,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.9,168,106,
8,Cecily Wilson,13,1.500,1.500,1.000,.000,0.0,11.0,5.0,0.0,0.0,0.0,0.0,4.5,300,100,
9,Chanterria Jackson,6,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0,105,
10,Darshana Ta'afua,4,,,,,0.0,35.7,16.4,0.0,0.0,0.0,,0.0,,88,
11,Alzena Henry,3,.000,.000,.000,.000,0.0,0.0,0.0,66.7,0.0,0.0,0.0,19.3,49,106,
12,Tyla Turner,3,.000,.000,.000,.000,0.0,47.6,21.9,0.0,0.0,0.0,0.0,19.3,0,82,
13,School Totals,200,.441,.424,.305,.119,15.2,57.1,34.4,55.0,9.7,5.4,10.1,100.0,88.7,90.3,
