,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Sabrina Haines,30,.630,.650,.400,.400,0.0,11.6,5.4,25.0,0.0,0.0,14.5,25.4,114,101,
1,Reili Richardson,28,.653,.667,.667,.222,0.0,12.4,5.8,20.5,2.2,0.0,16.8,23.5,110,96,
2,Quinn Dornstauder,24,1.013,1.000,.000,.667,0.0,29.0,13.6,9.3,0.0,5.2,0.0,17.9,217,95,
3,Sophie Brunner,24,.450,.450,.200,.000,0.0,36.2,17.0,31.3,2.5,0.0,9.1,25.4,99,92,
4,Kelsey Moos,20,1.053,,,,23.1,17.4,20.4,7.1,3.0,0.0,69.4,8.0,118,93,
6,Kianna Ibis,25,.583,.583,.167,.000,12.3,13.9,13.1,6.9,4.9,0.0,14.3,15.5,112,90,
7,Kiara Russell,25,.357,.357,.286,.000,0.0,0.0,0.0,38.7,0.0,0.0,22.2,19.9,88,102,
8,Robbi Ryan,15,.500,.500,.250,.000,10.3,11.6,10.9,11.8,4.1,0.0,0.0,14.8,121,91,
9,Jamie Ruden,4,.000,.000,.500,.000,0.0,43.5,20.4,0.0,0.0,0.0,0.0,27.7,0,97,
10,Sara Hattis,3,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.9,97,103,
11,Sydney Goodson,2,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,0,101,
12,School Totals,200,.582,.561,.316,.211,23.1,82.6,51.0,75.0,9.1,3.1,13.8,100.0,110.6,92.4,
