,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,South Carolina ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Victoria Vivians,34,.335,.281,.313,.250,3.5,12.6,7.6,8.2,0.0,0.0,22.0,37.2,60,112,
1,Dominique Dillingham,33,.550,.550,.200,.000,10.7,4.3,7.8,0.0,1.9,0.0,0.0,16.9,124,111,
2,Teaira McCowan,25,.443,.333,.000,.667,4.7,51.4,25.8,10.1,0.0,0.0,0.0,17.3,109,96,
3,Morgan William,23,.506,.333,.167,.667,0.0,0.0,0.0,44.8,2.7,3.3,11.4,21.2,111,109,
4,Breanna Richardson,20,.336,.200,.200,.400,5.9,7.1,6.5,11.8,3.1,0.0,14.5,19.1,76,107,
6,Ketara Chapel,19,.678,.500,.000,1.000,12.4,0.0,6.8,0.0,3.3,0.0,41.0,14.3,94,110,
7,Jazzmun Holmes,17,.600,.600,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,123,117,
8,Chinwe Okorie,14,1.000,1.000,.000,.000,8.4,30.6,18.4,0.0,0.0,11.0,0.0,4.0,203,99,
9,Roshunda Johnson,6,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0,116,
10,Blair Schaefer,6,.000,.000,1.000,.000,0.0,0.0,0.0,35.1,0.0,0.0,0.0,18.5,23,116,
11,Iggy Allen,1,.526,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.9,122,117,
12,Zion Campbell,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,114,
13,Ameshya Williams-Holliday,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,117,
14,School Totals,200,.433,.364,.218,.327,26.5,60.7,41.9,42.1,6.2,5.8,12.4,100.0,84.6,103.1,
