,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Washington ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Riley Nordgaard,34,.334,.286,.714,.143,5.5,14.0,9.7,19.1,2.9,0.0,6.3,21.2,80,114,
1,Peyton Ferris,33,.490,.411,.429,.429,2.8,17.3,10.0,12.3,3.0,0.0,8.3,49.9,97,112,
2,Blaire Braxton,29,.500,.500,.000,.000,12.8,16.4,14.6,0.0,0.0,5.9,50.0,6.3,79,116,
3,Delaney Junkermier,26,.750,.750,.333,.000,3.6,7.3,5.4,9.7,0.0,0.0,25.0,14.0,111,123,
4,Hannah Caudill,24,.000,.000,.750,.000,0.0,0.0,0.0,15.2,0.0,0.0,0.0,7.6,25,127,
6,Rebekah Hatchard,14,.000,.000,.000,.000,0.0,6.8,3.4,0.0,0.0,0.0,66.7,9.7,0,124,
7,Annika Lai,12,.500,.500,.250,.000,0.0,7.9,3.9,0.0,0.0,0.0,0.0,15.1,101,123,
8,Oliana Squires,10,.500,.500,.600,.000,0.0,38.1,18.8,57.1,0.0,0.0,28.6,31.8,81,109,
9,Margreet Barhoum,8,.000,.000,1.000,.000,0.0,23.8,11.8,22.7,0.0,0.0,50.0,22.7,11,116,
10,Madeline Smith,7,.000,.000,.000,.000,13.3,40.8,26.9,0.0,0.0,12.2,0.0,6.5,47,101,
11,Madisyn Shaide,3,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0,127,
12,School Totals,200,.422,.375,.500,.206,20.9,69.0,44.7,45.5,4.9,6.4,15.8,100.0,77.8,112.3,
