,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,DePaul ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Madison Weekly,34,.519,.433,.200,.733,0.0,7.4,3.7,15.7,3.3,2.7,13.1,35.6,100,124,
1,Hannah Schonhardt,30,.700,.700,.400,.000,8.3,20.8,14.6,0.0,1.9,3.0,0.0,8.8,151,122,
2,Megan Maahs,29,.899,.857,.000,.571,12.9,8.6,10.8,20.1,0.0,0.0,10.2,17.8,172,133,
3,Mikaela Morgan,22,.429,.429,.571,.000,0.0,11.4,5.7,9.9,0.0,0.0,12.5,19.3,82,131,
4,Angie Davison,21,.000,.000,.667,.000,0.0,11.9,6.0,17.3,2.7,0.0,40.0,12.6,20,124,
6,Ellie Howell,33,.432,.333,.250,.333,7.6,11.4,9.5,0.0,0.0,2.8,12.7,25.3,87,130,
7,Kennedy Kirkpatrick,11,.461,.250,.250,.750,0.0,0.0,0.0,39.6,0.0,0.0,15.8,30.4,96,136,
8,Heidi Hillyard,10,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0,136,
9,Taylor Hagen,8,.000,.000,.000,2.000,0.0,15.6,7.8,0.0,7.1,11.4,0.0,12.4,0,108,
10,Rose Simon-Ressler,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,137,
11,Dariann Garrison-Nickerson,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,137,
12,School Totals,200,.505,.436,.291,.436,21.9,53.1,37.5,40.9,7.0,9.1,13.1,100.0,94.4,123.9,
