,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Northern Iowa ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Madison Weekly,34,6,15,.400,5,12,.417,1,3,.333,8,11,.727,0,2,2,2,2,1,3,3,21
1,Hannah Schonhardt,30,3,5,.600,2,3,.667,1,2,.500,0,0,,2,5,7,0,1,1,0,0,7
2,Megan Maahs,29,6,7,.857,6,7,.857,0,0,,4,4,1.000,3,2,5,2,0,0,1,0,16
3,Mikaela Morgan,22,2,7,.286,0,3,.000,2,4,.500,0,0,,0,2,2,1,0,0,1,1,6
4,Angie Davison,21,0,3,.000,0,1,.000,0,2,.000,0,0,,0,2,2,2,1,0,2,3,0
6,Ellie Howell,33,4,12,.333,4,9,.444,0,3,.000,4,4,1.000,2,3,5,0,0,1,2,1,12
7,Kennedy Kirkpatrick,11,1,4,.250,1,3,.333,0,1,.000,3,3,1.000,0,0,0,2,0,0,1,1,5
8,Heidi Hillyard,10,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0
9,Taylor Hagen,8,0,1,.000,0,1,.000,0,0,,0,2,.000,0,1,1,0,1,1,0,1,0
10,Rose Simon-Ressler,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Dariann Garrison-Nickerson,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,School Totals,200,22,55,.400,18,39,.462,4,16,.250,19,24,.792,7,17,24,9,5,4,10,11,67
