,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kelsey Plum,39,.738,.714,.429,.476,4.1,6.4,5.4,47.6,1.4,0.0,3.8,32.9,175,118,
1,Natalie Romeo,39,.837,.909,.909,.182,4.1,0.0,1.8,0.0,0.0,0.0,0.0,14.8,170,123,
2,Chantel Osahor,37,.462,.464,.214,.500,13.0,40.5,28.4,25.6,2.9,5.0,10.5,25.1,125,100,
3,Katie Collier,30,.808,.750,.000,.500,10.7,12.5,11.7,4.2,0.0,6.2,0.0,7.9,191,115,
4,Aari McDonald,18,.965,1.083,.500,1.167,8.9,6.9,7.8,8.9,3.0,0.0,9.9,27.2,178,114,
6,Heather Corral,21,.600,.600,1.000,.000,0.0,11.9,6.7,0.0,0.0,8.9,16.7,13.9,103,114,
7,Hannah Johnson,11,1.000,1.000,.000,.000,14.5,11.4,12.8,0.0,0.0,0.0,50.0,8.8,108,120,
8,Jenna Moser,1,.000,.000,.000,.000,0.0,100.0,70.2,0.0,0.0,0.0,50.0,97.2,0,83,
9,Mai-Loni Henson,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,123,
10,Amber Melgoza,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,123,
11,Mackenzie Wieburg,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,123,
12,Deja Strother,1,,,,,0.0,100.0,70.2,0.0,0.0,0.0,,0.0,,83,
13,School Totals,200,.708,.714,.476,.444,36.0,71.9,56.1,55.6,5.3,14.0,8.4,100.0,144.0,109.3,
