,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Connecticut ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Saniya Chong,35,4,7,.571,1,2,.500,3,5,.600,0,0,,2,2,4,4,3,0,2,1,11
1,Napheesa Collier,34,12,20,.600,10,16,.625,2,4,.500,2,2,1.000,4,8,12,2,2,4,1,1,28
2,Katie Lou Samuelson,34,4,13,.308,4,9,.444,0,4,.000,0,0,,1,2,3,4,5,0,0,0,8
3,Gabby Williams,33,9,13,.692,9,13,.692,0,0,,7,7,1.000,2,4,6,3,4,0,3,3,25
4,Kia Nurse,33,4,5,.800,2,2,1.000,2,3,.667,1,2,.500,0,1,1,7,1,0,0,1,11
6,Crystal Dangerfield,13,1,3,.333,1,1,1.000,0,2,.000,0,0,,0,1,1,1,0,0,0,0,2
7,Natalie Butler,10,2,4,.500,2,4,.500,0,0,,1,4,.250,2,6,8,0,0,2,0,1,5
8,Kyla Irwin,3,0,0,,0,0,,0,0,,0,0,,1,0,1,0,1,0,0,0,0
9,Molly Bent,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Tierney Lawlor,2,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
11,School Totals,200,36,66,.545,29,47,.617,7,19,.368,11,15,.733,12,24,36,21,16,6,6,7,90
