,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kristen Confroy,40,.000,.000,1.000,.000,6.7,3.4,5.1,0.0,4.1,0.0,50.0,2.3,35,114,
1,Brionna Jones,38,.500,.500,.000,.000,24.6,29.0,26.8,12.0,5.8,4.6,5.9,20.9,123,97,
2,Destiny Slocum,38,.455,.375,.125,.500,0.0,3.6,1.8,13.8,0.0,0.0,33.9,18.2,75,123,
3,Shatori Walker-Kimbrough,35,.402,.333,.167,.222,3.8,7.9,5.8,11.9,4.7,5.0,20.2,33.1,83,108,
4,Kaila Charles,18,.286,.286,.143,.000,7.4,23.0,15.1,10.3,3.1,4.8,30.0,26.0,55,106,
6,Brianna Fraser,15,.791,1.000,.000,2.333,8.9,9.2,9.0,14.8,0.0,11.6,39.7,31.4,97,115,
7,Stephanie Jones,11,.808,1.000,.000,.500,12.1,25.1,18.5,0.0,0.0,0.0,17.0,25.0,119,115,
8,Ieshia Small,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23.4,0,125,
9,Sarah Myers,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,125,
10,Blair Watson,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,125,
11,Jenna Staiti,0,,,,,,,,,,,,,,,
12,School Totals,200,.484,.456,.105,.298,43.3,62.1,52.5,34.6,15.1,15.2,24.4,100.0,86.3,105.5,
