,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Temple ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Maite Cazorla,40,.357,.357,.429,.000,2.6,8.6,5.4,10.7,4.3,0.0,12.5,9.8,92,102,
1,Sabrina Ionescu,39,.471,.471,.353,.000,2.6,17.6,9.7,31.5,1.5,3.7,10.5,23.8,109,102,
2,Ruthy Hebard,37,.541,.529,.000,.529,13.9,6.2,10.2,0.0,1.5,3.9,8.7,30.4,114,107,
3,Mallory McGwire,30,.544,.545,.000,.182,10.3,26.7,18.0,18.2,0.0,7.3,14.4,22.6,112,98,
4,Lexi Bando,30,.357,.357,.714,.000,3.4,11.4,7.2,9.8,1.9,0.0,0.0,11.4,105,106,
6,Justine Hall,11,.333,.333,.667,.000,0.0,10.4,4.9,13.8,0.0,0.0,0.0,13.3,95,110,
7,Oti Gildon,9,.633,.667,.000,.667,22.8,0.0,12.0,0.0,0.0,0.0,20.5,26.5,110,116,
8,Sierra Campisano,4,.500,.500,.000,.000,51.3,28.6,40.5,0.0,0.0,0.0,33.3,36.7,86,103,
9,School Totals,200,.485,.478,.239,.194,38.5,65.7,51.4,53.3,8.6,12.7,11.0,100.0,101.4,100.0,
